,Date,Volume,Open,High,Low,Adj Close
1391,2019-08-27,81310864.0,14.3827,14.5867,14.1353,14.272
1390,2019-08-28,48579351.0,14.246,14.4833,14.154,14.3727
1389,2019-08-29,77746521.0,14.6,14.8933,14.5333,14.7807
1388,2019-08-30,139916555.0,15.2767,15.496,14.9475,15.0407
1387,2019-09-03,80408150.0,14.9387,15.2633,14.8773,15.0007
1386,2019-09-04,86530397.0,15.126,15.2307,14.6137,14.712
1385,2019-09-05,111049774.0,14.8333,15.32,14.7233,15.3053
1384,2019-09-06,62840549.0,15.1467,15.3093,15.0113,15.1633
1383,2019-09-09,72039999.0,15.3333,15.584,15.282,15.4527
1382,2019-09-10,73255673.0,15.3867,15.7027,15.2627,15.7027
1381,2019-09-11,150641625.0,15.8253,16.5449,15.7333,16.4733
1380,2019-09-12,128718086.0,16.5133,16.9,16.2933,16.3913
1379,2019-09-13,79697135.0,16.464,16.5633,16.3243,16.3467
1378,2019-09-16,70921405.0,16.4,16.4953,16.078,16.1873
1377,2019-09-17,59203605.0,16.1647,16.3733,16.0247,16.3193
1376,2019-09-18,63421513.0,16.3333,16.5446,16.158,16.2327
1375,2019-09-19,73246988.0,16.4,16.5293,16.3227,16.44
1374,2019-09-20,97593911.0,16.4327,16.4631,15.8773,16.0413
1373,2019-09-23,65874417.0,16.0,16.3453,15.948,16.082
1372,2019-09-24,194116553.0,16.1013,16.1327,14.8407,14.8807
1371,2019-09-25,141664219.0,14.9707,15.2653,14.5573,15.2467
1370,2019-09-26,181181759.0,15.3773,16.2207,15.16,16.1707
1369,2019-09-27,166847617.0,16.1467,16.5807,15.9153,16.142
1368,2019-09-30,89192370.0,16.2,16.2653,15.7407,16.058
1367,2019-10-01,92944304.0,16.1,16.3967,15.942,16.3127
1366,2019-10-02,93848173.0,16.2193,16.31,15.962,16.2087
1365,2019-10-03,227066286.0,15.4573,15.632,14.952,15.5353
1364,2019-10-04,120317640.0,15.4407,15.652,15.2047,15.4287
1363,2019-10-07,121304294.0,15.32,15.904,15.2367,15.848
1362,2019-10-08,130535005.0,15.7247,16.2627,15.6333,16.0033
1361,2019-10-09,104025443.0,16.088,16.4863,16.0433,16.302
1360,2019-10-10,94701208.0,16.352,16.6187,16.1053,16.316
1359,2019-10-11,127322321.0,16.4767,16.7387,16.454,16.526
1358,2019-10-14,153402823.0,16.5267,17.2367,16.4753,17.1307
1357,2019-10-15,97191791.0,17.18,17.3333,16.9413,17.1927
1356,2019-10-16,100564495.0,17.1593,17.4733,17.128,17.3167
1355,2019-10-17,71685609.0,17.5,17.652,17.3447,17.4647
1354,2019-10-18,86304947.0,17.38,17.52,17.0067,17.13
1353,2019-10-21,76621477.0,17.222,17.3,16.6787,16.9
1352,2019-10-22,69376390.0,16.9547,17.222,16.7233,17.0387
1351,2019-10-23,168242616.0,16.9667,17.076,16.7567,16.9787
1350,2019-10-24,447288226.0,19.8913,20.3287,19.28,19.9787
1349,2019-10-25,450091125.0,19.848,22.0,19.7407,21.8753
1348,2019-10-28,283054208.0,21.836,22.7227,21.5067,21.8473
1347,2019-10-29,190263955.0,21.3327,21.62,20.9833,21.0813
1346,2019-10-30,144627078.0,20.8667,21.2527,20.6647,21.0007
1345,2019-10-31,76004302.0,20.8733,21.2667,20.8667,20.9947
1344,2019-11-01,95758887.0,21.088,21.0987,20.6533,20.8873
1343,2019-11-04,131805534.0,20.9867,21.4627,20.6173,21.1647
1342,2019-11-05,104151203.0,21.308,21.5673,21.0745,21.148
1341,2019-11-06,119113920.0,21.2,21.7813,20.9667,21.772
1340,2019-11-07,217010141.0,21.9427,22.7667,21.868,22.3693
1339,2019-11-08,91113269.0,22.3,22.4973,22.1667,22.476
1338,2019-11-11,149905260.0,22.93,23.2793,22.8,23.006
1337,2019-11-12,110390690.0,23.1267,23.358,22.936,23.3287
1336,2019-11-13,127017881.0,23.6667,23.7553,23.012,23.074
1335,2019-11-14,97075496.0,23.074,23.5893,22.8607,23.29
1334,2019-11-15,72188409.0,23.376,23.52,23.224,23.478
1333,2019-11-18,66127542.0,23.5278,23.5433,23.0733,23.3327
1332,2019-11-19,116041112.0,23.45,23.9993,23.1867,23.968
1331,2019-11-20,101009424.0,24.0,24.08,23.3047,23.4813
1330,2019-11-21,91650149.0,23.634,24.056,23.6003,23.6553
1329,2019-11-22,253059473.0,22.6773,22.7333,22.0,22.2027
1328,2019-11-25,185186457.0,22.9547,22.9713,22.2973,22.4227
1327,2019-11-26,119343525.0,22.3513,22.3667,21.8067,21.928
1326,2019-11-27,83451843.0,22.0747,22.262,21.9047,22.086
